"q95","q90","Median","q10","q5","Escapement"
0,0,0,0,0,0
124911.934112409,83104.7565747104,34578.1155984821,16324.3109339406,13606.8326809397,5000
221627.224974433,150335.263761024,63933.9554814252,30438.0014264894,26035.6305915884,10000
304391.566103231,206335.532669196,88494.2674678183,43502.4368946454,36778.8251359199,15000
371954.744667122,247707.819860754,109067.945979525,54484.6927854431,46273.5074693717,20000
433234.716960623,282637.269946245,125103.646288614,64217.6376380336,54593.6003736955,25000
472504.845227337,304147.535027147,137911.904120031,71445.1969847747,61717.3106611086,30000
507276.537681099,318483.267411296,148681.229635843,76691.2651000943,66002.8386025761,35000
521027.186284867,333362.682052831,155168.095121837,82194.4454985315,70373.5714325272,40000
547127.469318075,347835.463475601,159340.64158817,85863.0484262226,70991.8336055959,45000
554566.845576847,353964.255945938,161602.744595465,87522.031854676,71175.7483883802,50000
558026.95516911,363144.407718777,161069.662660378,88979.1916803114,69579.4784103745,55000
567425.180269589,364800.871021943,160815.136996923,87534.2353617947,68297.8477433175,60000
564883.849318105,361557.000406077,158763.827262435,84727.3830124224,66572.3610751131,65000
558457.929115165,361634.761605955,154973.088103765,81392.831126303,62460.7748776076,70000
559490.110045271,361711.439964514,152927.207453934,74665.4548899331,57566.5538356603,75000
552230.049206518,357890.711242331,146376.265141988,66868.0371509946,51227.8017673756,80000
547010.477044416,358077.526853657,139735.485079908,61068.4941386318,41294.2195416798,85000
545724.355071993,350771.184577164,130698.347712518,52860.6656639445,32784.2965208178,90000
534557.194531918,343416.880862974,122136.319923459,44121.9648666614,24540.0379622575,95000
524398.363068268,339575.535365172,114977.932303533,34038.5611925821,16590.9087562539,1e+05
510707.465701915,328936.200505119,106653.516503046,24879.4104930868,7309.36074559152,105000
498647.647761208,319280.83378603,97693.0887259504,14372.6995340077,-3262.66225727906,110000
498584.700038088,314030.807279642,88796.1132201544,3521.9257722356,-13381.8079932398,115000
