"q95","q90","Median","q10","q5","escapement"
0,0,0,0,0,0
80956.00596,69365.055514,44418.07208,29963.236442,26867.216691,5000
147699.93823,127224.972763,82095.662712,56028.820161,50650.347269,10000
202067.227239,174872.396911,113865.526657,78549.602356,71253.769954,15000
246562.552838,214113.819427,140201.023955,97633.360686,88806.311156,20000
282379.400018,245527.887842,161751.026255,113574.662009,103552.342294,25000
310261.558003,271120.181591,178404.85853,126590.27171,115403.719226,30000
334699.10613,290964.66896,191783.743441,136709.006174,124643.782238,35000
352639.266338,306039.137606,201404.753898,143921.009328,131035.661388,40000
366059.549976,316440.940475,208148.108427,148180.384781,135127.424125,45000
376349.819414,324548.162184,212744.081712,150367.848912,137137.162688,50000
381454.057391,329948.192691,214630.260198,150124.310585,135955.760621,55000
387053.094713,333420.317146,214610.606699,148580.823692,133031.60904,60000
389467.737233,332999.797596,212844.396076,145265.731734,129199.893862,65000
389371.300432,332241.854962,209144.148755,139959.150281,123863.257154,70000
387554.840799,330233.387658,203994.798959,133233.596032,116986.809886,75000
384587.638126,325992.291635,197969.702619,125382.584908,108511.681157,80000
379663.356377,321146.202788,190515.605289,116030.220134,99444.555747,85000
376026.417983,315464.194746,182420.36002,106555.438278,89342.266767,90000
371446.222992,308899.862502,173051.280582,95691.278331,78939.687874,95000
365138.165177,301795.862909,163537.547258,84532.229757,67644.615807,100000
360317.812981,294118.968981,153171.107519,73136.454184,56247.696942,105000
353376.41425,285911.334879,142742.69969,61679.507933,44367.277721,110000
343505.567196,277658.959916,131518.237045,49763.810892,32567.311706,115000
335512.367766,269180.452432,120133.469631,37696.42472,20774.308537,120000
326167.565081,259571.403685,108276.171367,25440.652022,8513.865931,125000
317180.674023,249974.263423,96391.52308,13415.514304,-3629.174932,130000
307689.441297,240064.873067,84403.50478,1496.594399,-15080.993639,135000
298590.088092,229780.854157,72330.688655,-10376.818088,-26806.542221,140000
289577.264878,218761.510288,60347.827734,-22027.097531,-38140.067822,145000
281225.950218,208332.715794,48081.641122,-33841.947898,-49412.453447,150000
271736.768127,197157.367077,36077.139309,-45145.495166,-60550.002342,155000
261940.345585,186287.099448,24282.331734,-56263.001632,-71067.36607,160000
250991.867671,174626.900146,12353.07277,-67017.040579,-81783.029451,165000
240159.281433,163085.364885,455.801551,-77816.396004,-92293.661591,170000
227661.742161,150676.012811,-11370.707097,-88209.155545,-102409.477691,175000
217529.343452,139478.59349,-23237.435405,-98554.143098,-112254.482925,180000
207625.566686,128127.87026,-34506.969429,-108457.638099,-121747.396635,185000
195694.361105,116393.232516,-45738.015373,-118189.396706,-130850.863525,190000
184383.211572,104548.092172,-56657.553207,-127631.775518,-139931.960604,195000
173191.718636,91997.587599,-67581.179227,-136880.852389,-148620.289138,200000
161383.86676,79730.521251,-78397.226468,-145969.073435,-157158.277986,205000
149189.532024,68002.724733,-89004.785453,-154898.362617,-165530.217734,210000
138011.812772,56307.754435,-99506.979539,-163516.419799,-173661.266978,215000
125287.493599,45077.871302,-109867.741734,-171956.297411,-181523.171283,220000
114369.997123,32781.678251,-119850.473484,-180154.509697,-189185.962691,225000
102550.188099,21534.869576,-129635.324356,-188142.817179,-196774.599107,230000
90906.608642,10265.198775,-139330.892376,-195940.503877,-204170.541246,235000
79228.865587,-1152.458679,-148743.877944,-203596.612099,-211487.625364,240000
66311.51279,-13068.941589,-158034.871267,-211098.245335,-218591.454289,245000
54587.263177,-24169.308031,-167127.093955,-218404.240546,-225501.272994,250000
42816.496303,-34461.130158,-176110.746227,-225535.640065,-232332.200844,255000
31182.684531,-45099.794999,-184838.958165,-232564.500241,-239103.552599,260000
19452.249232,-55726.426612,-193573.126942,-239457.158075,-245633.17557,265000
7462.081092,-66594.925092,-202212.158313,-246295.272276,-252137.56014,270000
-4370.221986,-77745.749582,-210526.307379,-252980.674743,-258497.80571,275000
-15756.998178,-88263.725388,-218653.027515,-259557.789406,-264729.440551,280000
-26338.552785,-98648.269248,-226718.807083,-265996.044245,-270888.017124,285000
-38079.707266,-108973.026347,-234679.860255,-272338.699433,-276950.637886,290000
-49300.939873,-119224.471802,-242528.10759,-278606.377914,-282956.986567,295000
-59799.591863,-129424.502182,-250226.94685,-284813.164632,-288907.24227,300000
-70635.841621,-139498.713331,-257729.36974,-290903.037848,-294793.459722,305000
-81214.88537,-149859.29112,-265156.782712,-296941.440872,-300599.357595,310000
-92049.557139,-160156.757032,-272459.464126,-302929.699874,-306346.637822,315000
-102177.153563,-169767.337407,-279686.044995,-308800.188454,-312026.059035,320000
-112886.570401,-179495.307395,-286808.18648,-314621.569771,-317657.629152,325000
-123028.336644,-189229.920986,-293851.177642,-320379.81185,-323253.093933,330000
-132859.597743,-198519.569996,-300745.796244,-326092.017117,-328799.681196,335000
-142718.045622,-207623.236324,-307567.989165,-331751.713092,-334291.385853,340000
-152666.297778,-216767.703747,-314311.663516,-337361.673969,-339744.010755,345000
-163118.419156,-225876.033391,-320990.229741,-342932.713178,-345186.617665,350000
-172722.383563,-235103.556666,-327534.190873,-348471.212359,-350581.419942,355000
-182550.901232,-244331.23559,-333983.812404,-353961.166112,-355934.789591,360000
-192404.69703,-253039.356076,-340395.825864,-359423.176117,-361263.578365,365000
-201869.580522,-261614.858496,-346748.711737,-364846.81325,-366564.960069,370000
-211372.535874,-270039.291834,-353019.61074,-370234.149846,-371842.403011,375000
-220975.31134,-278512.910635,-359213.84386,-375597.182926,-377094.85601,380000
-230391.900001,-286934.547567,-365337.913095,-380935.036709,-382333.740548,385000
-239684.37406,-295101.047985,-371411.690074,-386245.132124,-387553.464592,390000
-248687.518095,-303219.264091,-377406.803923,-391531.585949,-392750.045202,395000
-257198.156509,-311249.901716,-383378.063067,-396800.098704,-397933.356156,400000
-266238.769427,-319557.359863,-389296.677414,-402043.726395,-403099.229477,405000
-275351.215566,-327499.015738,-395159.889953,-407268.158712,-408261.198339,410000
-283888.554535,-335309.958592,-400985.292981,-412478.399433,-413403.223581,415000
-292217.97539,-342955.038582,-406762.860377,-417675.190376,-418534.940167,420000
-300974.838747,-350581.863639,-412499.701488,-422852.20874,-423659.136889,425000
-309699.248295,-358348.585993,-418209.734632,-428021.421452,-428772.506481,430000
-317943.992114,-365836.459034,-423878.795366,-433177.870065,-433872.728881,435000
-326237.900437,-373065.942877,-429501.804186,-438322.311949,-438965.717312,440000
-334619.466224,-380421.727293,-435100.706809,-443451.514537,-444051.475153,445000
-343018.713034,-387716.857032,-440660.223036,-448572.31501,-449129.879693,450000
-350969.665382,-394851.722596,-446187.16899,-453683.175815,-454204.824171,455000
-358870.911511,-401933.584948,-451681.755783,-458786.091163,-459272.853787,460000
-366743.500223,-408974.648254,-457155.598138,-463881.900476,-464333.399646,465000
-374409.882699,-415876.885135,-462610.565556,-468970.201765,-469388.15718,470000
-382033.487784,-422762.298248,-468030.431999,-474050.047378,-474438.062834,475000
-389911.270815,-429656.849785,-473426.796506,-479125.177522,-479485.912227,480000
-397650.470327,-436386.237481,-478800.279025,-484194.959735,-484529.958359,485000
-405479.049785,-443190.675358,-484158.117721,-489258.728758,-489570.258687,490000
-413225.651702,-450008.454327,-489497.539549,-494317.614146,-494606.225143,495000
-420784.836961,-456649.241333,-494814.240225,-499372.362477,-499639.966691,500000
-428310.68482,-463188.384761,-500112.47503,-504422.005024,-504670.462051,505000
-435490.088263,-469691.345066,-505395.46593,-509468.920177,-509698.419249,510000
-442717.093312,-476145.933351,-510669.037334,-514510.808891,-514723.904948,515000
-450007.633288,-482500.16753,-515923.089458,-519549.280071,-519747.31852,520000
-457096.002109,-488782.919309,-521156.26511,-524584.81095,-524768.695804,525000
-464221.623762,-495090.712848,-526378.480011,-529617.618105,-529788.249219,530000
-471230.671704,-501406.553233,-531586.575866,-534647.835159,-534805.817525,535000
-478303.017031,-507622.808467,-536786.551194,-539676.21912,-539822.609938,540000
-485314.521975,-513801.73927,-541973.098842,-544702.461413,-544837.941881,545000
-492265.734368,-519931.606972,-547150.465938,-549726.348339,-549851.825369,550000
-499073.814391,-526044.128476,-552317.041895,-554748.105508,-554864.495055,555000
-505721.094982,-532122.709798,-557470.920542,-559768.295322,-559876.2542,560000
-512350.808238,-538135.128533,-562622.444949,-564786.924185,-564886.754619,565000
-518941.590801,-544077.448212,-567760.365586,-569804.156493,-569896.373195,570000
-525445.864295,-550041.716156,-572894.317315,-574820.044938,-574905.253049,575000
-531936.893017,-555952.059954,-578017.998456,-579834.437679,-579913.365616,580000
-538580.184365,-561824.896708,-583136.808796,-584847.746119,-584920.711801,585000
