"variable","Mean","SD","time_series_se","perc_2.5","perc_50","perc_97.5","mc_error","converge"
"MSY","243748.265550543","112079.250252841",1028.10603321083,"128971.13301424","221392.184609303","490658.36961481",0.00917302739705621,"true"
"S.eq","182668.045123158","56531.5485139775",511.03221776248,"122987.681212894","170195.402938797","316059.272910956",0.00903977037947451,"true"
"S.eq.alt","132938.688342596","35414.9701270287",314.056285004447,"90413.6766531518","126052.7381466","216073.348745497",0.00886789636918991,"true"
"S.max","78502.4398696971","29971.9810224927",271.344601602526,"47606.6673076667","71953.4300086274","149026.132629147",0.00905327550417482,"true"
"S.msy","61011.5562945361","20369.1346365431",184.211580519841,"39834.4039797215","56589.9258048031","108209.423439998",0.0090436625711805,"true"
"S.msy.alt","50266.5034923456","14461.9877370246",130.755864612952,"33864.4376280835","47286.2884882066","84548.2786426677",0.00904134804914818,"true"
"U.msy","0.786718921322277","0.0501995154929025",0.000458269641072768,"0.679266016285652","0.790352980874968","0.87513698737384",0.00912896542074317,"true"
"alpha","5.98717595650295","1.68644881587053",0.0153937652198619,"3.36536751968666","5.77309537879538","9.86200803182806",0.00912791723946614,"true"
"alpha.c","11.4420629803296","4.47076988100203",0.0408101101911375,"6.20050665491395","10.6050177872999","21.6594760670932",0.00912820638891636,"true"
"beta","0.0000138930994828074","0.00000362717284870976",0.0000000325302526901674,"0.00000671023252924704","0.0000138978781130244","0.0000210054612354973",0.00896848704128863,"true"
"lnalpha","1.75192216767874","0.274378170297188",0.00250455156123982,"1.21353712968056","1.75320839498271","2.28868979987905",0.00912810067406987,"true"
"lnalpha.c","2.38204422232431","0.318800324995699",0.00291022498876203,"1.82463099306244","2.36132726526892","3.07544303087325",0.00912867635502345,"true"
"phi","0.245509554694571","0.145366688318989",0.00134109657081775,"-0.0392410940955225","0.245152652790106","0.530488474011225",0.00922561135791222,"true"
"resid.red.0","-0.162796978848542","1.07776694261604",0.00983766304302096,"-2.25644432871645","-0.168791831169235","1.94808938368333",0.00912782036081219,"true"
"sigma.red","1.11478891966729","0.132254419513276",0.00120728485224597,"0.901508224885542","1.09903914136118","1.41760246918075",0.00912850290137018,"true"
"sigma.white","1.06456266472407","0.108859363355956",0.000993751075765243,"0.876732698531942","1.05483894533648","1.3039915976858",0.0091287606791876,"true"
"tau.red","0.836695819636437","0.186348092972461",0.00171408250289482,"0.49761226709459","0.827891989817967","1.23044049244401",0.00919828303876512,"true"
"tau.white","0.909669393553207","0.182375965269724",0.00166486055763992,"0.588098963660059","0.898726791245576","1.30096494585509",0.009128727873641,"true"
"Smsy_lambert"," 61219.74"," 20414.26",NA," 40034.01"," 56779.24","108457.52",NA,"NaN"
"Umsy_lambert","0.78963582","0.05243087",NA,"0.68125793","0.79184672","0.88781722",NA,"NaN"
"Smsy_lambert80"," 48975.79"," 16331.41",NA," 32027.20"," 45423.39"," 86766.02",NA,"NaN"
