"q95","q90","Median","q10","q5","escapement"
0,0,0,0,0,0
74591.860114,67323.795327,48108.574979,35610.917369,32979.50821,5000
136910.183736,123936.979701,89561.562872,67356.724536,62563.284543,10000
188051.154254,170857.869415,125155.136239,95239.582194,88845.522107,15000
230195.313688,209647.861675,155481.457474,119856.403087,111879.013939,20000
265291.165038,241926.08836,181167.303386,140781.151966,131979.557468,25000
293179.386245,268786.585241,202707.344782,158598.526642,149123.645675,30000
316189.387261,289922.124559,220142.789131,173466.286992,163615.567283,35000
334064.304861,306896.480761,234115.749885,185885.546083,175139.180381,40000
348691.760213,320798.27534,245280.263074,195789.091732,184608.293579,45000
360903.643198,332008.962283,253942.370824,202860.420261,191668.22905,50000
370339.362303,340499.299658,260172.435686,207797.037521,196081.479307,55000
378138.655599,347095.588788,264494.824105,211003.11917,198817.871104,60000
384546.837364,352251.954569,267309.125146,212180.4799,199433.588838,65000
389569.599402,355288.029884,268217.316463,211587.577598,198609.186546,70000
393017.818702,357608.895573,267793.225635,209458.756518,196346.541616,75000
395474.738241,358936.514709,266579.223968,206324.040369,192966.648996,80000
397771.033195,359477.793977,264056.994539,202432.06377,188233.413537,85000
398270.572371,359107.28118,260502.705441,197435.375862,183155.438197,90000
397860.662612,357232.971441,256410.445722,191341.325442,176885.569726,95000
397794.768454,355096.440945,251432.37123,185436.324541,170247.245332,100000
396505.623957,352440.682324,246222.743603,178682.857231,163212.07665,105000
395330.871318,349888.617075,240123.642813,171822.442394,156476.056356,110000
392870.178232,346790.987221,234024.147701,164842.346011,149383.412086,115000
390525.638695,343394.49814,227589.293013,157991.163059,142021.527743,120000
388351.155893,338902.726798,221145.518368,150656.234953,134982.221559,125000
384237.623948,334316.282693,214213.336305,143325.624503,128122.572293,130000
379661.797019,329322.354091,207315.597447,136104.005852,121329.667597,135000
375183.044471,324433.632398,200402.719833,129264.929252,114731.689209,140000
370726.815058,318876.623795,193279.784406,122482.695169,108306.068723,145000
366164.950557,313388.585743,186316.0142,115919.263751,101840.530143,150000
361245.264432,308085.485389,179441.634728,109645.094179,95679.317193,155000
356209.838741,302034.215378,172564.347139,103452.323357,89905.133147,160000
351264.087325,296127.225392,165864.311418,97527.02852,84288.671739,165000
345760.149089,288947.859217,159129.724743,91873.704179,79044.992897,170000
338969.647151,282826.843526,152728.141583,86559.857788,74065.130557,175000
333279.248069,276586.213845,146271.712792,81505.045742,69119.02913,180000
328181.760681,270361.592791,140003.499428,76554.041127,64586.184528,185000
321753.644472,263763.417235,133893.794543,71815.142091,60265.049871,190000
316063.895706,257628.10535,128066.930565,67335.810052,56052.065914,195000
309741.312893,250933.674925,122504.34523,63052.606811,52306.592979,200000
303683.970942,245024.732036,117096.197608,58983.105793,48727.203094,205000
297708.400666,238680.786766,111901.449928,55096.626355,45410.763213,210000
291096.934058,232214.729306,106726.268223,51439.532333,42202.86846,215000
285227.875728,225711.044126,101868.142597,48075.931059,39153.115008,220000
279423.331922,219690.743787,97119.48355,44965.936869,36295.18815,225000
273430.358214,213870.898136,92496.713859,41948.004316,33695.170392,230000
267334.115311,208107.094892,88090.280327,39206.780142,31233.192957,235000
260808.81882,202019.040097,83853.471454,36631.187051,28969.918946,240000
254690.976269,196145.482288,79718.335058,34151.850343,26878.077947,245000
248453.645615,190638.310617,75772.692386,31814.563149,24917.695434,250000
242099.526331,184858.484765,72088.95367,29679.723505,23063.259449,255000
237041.760354,179817.277096,68510.684838,27587.217314,21344.974962,260000
230864.759695,174671.690509,65103.233131,25720.518463,19751.415947,265000
225410.425888,169341.8526,61854.934625,23920.944525,18263.812468,270000
220132.621595,164121.086358,58722.636645,22232.78725,16849.086316,275000
214325.836981,158969.585695,55708.433576,20686.882185,15563.52684,280000
208963.053956,154457.125798,52833.105215,19179.361606,14362.083299,285000
203717.69071,149423.190271,50096.419933,17819.562868,13245.684077,290000
198523.767546,144305.505882,47509.700978,16540.6077,12225.76458,295000
193802.924073,139584.071283,45010.828291,15339.773371,11289.646524,300000
188510.195784,135096.663792,42618.603767,14216.712777,10397.810597,305000
182982.612273,130665.487409,40298.014696,13185.864954,9618.082971,310000
177706.965665,126103.727707,38146.966448,12208.081403,8869.801068,315000
173065.749104,122008.848264,36108.974591,11320.184024,8156.836347,320000
168191.865081,117892.155004,34193.216589,10477.390178,7520.523224,325000
163410.433761,113878.885612,32350.428513,9710.571052,6935.364792,330000
158993.651392,110025.660431,30594.441346,8994.960099,6389.122218,335000
154266.722238,106331.886605,28900.668439,8333.968466,5886.881922,340000
149797.159578,102731.027474,27327.998051,7709.899781,5425.875268,345000
145604.59644,99241.309675,25875.16932,7140.790799,4994.452443,350000
141212.620829,95890.043556,24447.065616,6614.428428,4594.128799,355000
137001.526882,92735.100519,23086.13868,6120.994075,4227.013393,360000
133120.797896,89690.432628,21833.114544,5670.700132,3885.385568,365000
129339.055067,86578.159065,20617.566636,5249.241682,3569.832792,370000
125084.438668,83584.436489,19484.029018,4852.635743,3281.772125,375000
121603.960168,80772.13582,18402.988931,4491.159957,3015.020451,380000
117847.615644,78034.952399,17390.382752,4155.26282,2778.83712,385000
114379.002634,75324.23921,16415.911665,3841.530576,2553.495794,390000
110817.537732,72594.861162,15473.895731,3550.493361,2348.034436,395000
107450.893421,69915.154705,14583.221399,3274.299011,2157.97757,400000
103838.01364,67350.432915,13753.007958,3024.049595,1985.507278,405000
100700.0402,65076.098251,12990.344253,2790.314045,1822.298797,410000
97405.232375,62889.282524,12252.685337,2575.042744,1672.179311,415000
94345.704406,60624.979199,11539.812689,2378.645687,1533.048514,420000
