"q95","q90","Median","q10","q5","escapement"
0,0,0,0,0,0
74496.85597,66703.179772,47425.237156,35546.627264,32780.263623,5000
136600.412365,122659.080511,88464.754263,67103.725125,62154.263793,10000
187740.291345,169605.541412,123700.796304,94964.454297,88392.548519,15000
229818.290086,208622.474815,153942.973017,119326.429605,111773.861001,20000
264339.072332,240590.777936,179267.177465,140503.675002,131747.990518,25000
293038.685411,266660.09889,200576.526313,158466.166726,148992.932399,30000
316001.024901,287383.940849,218248.336358,173491.023365,163807.533036,35000
334818.026565,304501.832374,232396.924371,185972.462885,175482.931307,40000
350215.132703,318267.50193,243651.509788,195702.054323,185026.757129,45000
362166.832859,329651.077481,252131.097967,203190.615633,191712.036314,50000
371277.413197,338316.735421,258688.283627,208054.532649,196739.805512,55000
377186.902412,345391.146427,263037.998134,211185.061159,199499.179949,60000
382793.965511,350409.69377,265775.910052,212546.817124,200286.196836,65000
387329.734195,352958.616942,266630.833211,212065.627384,199558.43646,70000
390575.671432,355197.558559,266174.513178,210251.869292,197307.774676,75000
392494.732545,356556.419717,264736.488358,207060.350308,193807.035558,80000
394498.656282,356929.767444,262008.53863,202728.377888,188955.84491,85000
394902.125142,356960.432078,259121.991198,197556.132703,183541.561542,90000
395674.144297,356668.166729,255296.493042,191861.720291,177623.93378,95000
394188.627265,355096.725247,250715.331333,185634.668266,171298.950344,100000
393386.241018,351558.739877,245276.499603,179083.036534,164548.123069,105000
391535.557272,348539.883737,239291.145434,171975.81511,157467.960082,110000
389318.157439,344746.165321,233312.88513,164919.900178,150272.951264,115000
388036.381167,340295.146181,226805.008337,157797.277111,142864.716317,120000
384919.218486,336483.150917,220385.704573,150447.319079,136125.004192,125000
382975.5556,331643.236121,214020.673375,143444.615023,129005.386163,130000
379766.874124,326810.464123,207181.711642,136423.951372,122089.854348,135000
374426.480927,322021.484041,200142.472809,129265.236488,115291.538456,140000
369531.052888,316925.221159,193194.079771,122340.181413,108763.685359,145000
365786.738734,311499.093178,186335.487745,115660.892288,102522.545179,150000
361873.534401,305999.46901,179683.378674,109491.291112,96368.533799,155000
356141.957022,299810.128136,172827.491062,103272.47941,90594.695509,160000
350853.088387,293666.463114,166023.739182,97408.986787,84880.375062,165000
346029.979092,287574.253492,159570.808445,91667.490826,79461.695943,170000
341461.969028,282183.278507,153160.455987,86275.405929,74252.029432,175000
334808.635085,275839.86474,146837.61368,81111.787289,69409.33463,180000
329304.205224,269989.055748,140682.531955,76155.361901,64910.723216,185000
323846.367844,263401.705065,134759.833504,71456.178923,60504.249651,190000
317127.731416,257264.35854,128999.872634,66999.528241,56301.048665,195000
310766.934443,251391.729247,123149.343969,62679.013231,52427.436899,200000
304627.269159,245079.353956,117614.177477,58736.188488,48794.474616,205000
298680.601609,239200.955282,112236.01963,54871.629737,45442.72566,210000
292062.660136,232491.52914,107180.405123,51337.288656,42209.301907,215000
286242.782326,226122.992965,102361.421956,47999.223035,39267.494716,220000
280040.900304,220403.160461,97549.058491,44836.735119,36436.579793,225000
273744.460705,214663.220231,93122.495952,41854.368584,33813.359951,230000
267869.496701,208779.993227,88778.931389,38989.709789,31408.28455,235000
261639.760751,203416.90226,84619.421687,36376.713809,29104.155989,240000
256447.891537,197727.986549,80621.821129,33914.733611,26957.218138,245000
251576.998945,192415.342619,76674.0262,31591.722031,25001.587726,250000
246022.953431,187196.338902,72938.770665,29448.227848,23078.890636,255000
240745.912206,181106.032124,69368.778134,27461.680496,21363.347478,260000
235036.861554,175982.09613,65919.288274,25555.567232,19767.272936,265000
229434.776078,170948.56211,62590.384549,23759.856653,18300.286642,270000
224409.261451,165738.196558,59483.927375,22039.218038,16924.629344,275000
218822.099568,160817.455048,56540.059303,20505.993836,15641.271336,280000
213404.785922,155973.655461,53632.764158,19068.401135,14432.367137,285000
207714.580646,151356.679947,50895.239986,17712.768284,13342.758581,290000
202436.930882,146463.673897,48305.649708,16449.880528,12309.584896,295000
