"q95","q90","Median","q10","q5","escapement"
0,0,0,0,0,0
81021.334961,69566.464959,44354.944382,29931.619025,27108.871261,5000
148020.06026,127334.672652,82054.611654,56006.680669,50708.052306,10000
203024.795146,175004.765668,113900.797726,78521.513003,71211.387452,15000
248476.479621,214067.845834,140384.052764,97692.46846,88450.315094,20000
285788.279712,246193.358181,161940.572784,113335.530519,103136.067234,25000
315881.251898,271127.012902,178951.949073,126109.546868,114684.722543,30000
338291.6376,290523.799118,192475.894877,136156.455372,123756.381862,35000
356633.854019,305621.502575,202537.853421,143489.068429,130145.640076,40000
369971.730514,317289.392175,209667.104187,148438.90205,134621.351108,45000
380566.611408,324806.11496,214202.312477,150377.811673,135893.848601,50000
387268.524365,330349.328314,216216.587265,150503.888509,135140.664505,55000
391805.816219,332628.225641,215748.045619,148555.842574,133730.429093,60000
393475.360196,333291.808266,213687.011834,144325.254759,129252.706949,65000
393552.82769,332306.125261,209652.206351,138951.808294,123802.907167,70000
393316.275238,330335.617724,204292.923621,132177.72739,116497.698864,75000
392080.56276,327648.863537,198382.981099,124543.059657,108381.340384,80000
389030.096503,323694.077152,191164.571143,115591.704765,99209.616937,85000
383338.192898,317986.870195,183085.663187,106062.639093,89424.702848,90000
377948.042025,312134.37976,173714.67822,95791.914536,78700.41293,95000
371377.538236,304247.741196,164105.924175,84901.366108,67439.294583,100000
363383.615754,297311.094381,153584.07121,73353.310336,56043.629916,105000
356595.529472,289405.00159,142787.405059,61392.972547,44902.163034,110000
347648.318503,279157.584054,131926.564375,49365.45578,33106.494518,115000
339162.898157,269234.954576,120602.174841,37172.590838,21107.195277,120000
330512.149086,259512.630335,108780.816838,25518.737047,9188.854441,125000
322434.83973,250038.000776,96757.51207,13377.687377,-2423.31785,130000
312861.227319,239052.610926,84701.109998,1107.400035,-14403.629743,135000
304003.233924,229135.143694,72594.142362,-10603.089847,-26092.518643,140000
294948.004494,217516.15805,60567.182672,-22388.075971,-37598.944735,145000
283764.892278,207196.111105,48516.875742,-33842.507541,-48957.937709,150000
271380.339482,195630.255625,36367.077519,-45321.799365,-59904.318677,155000
260148.957921,184703.009537,23974.060354,-56387.273765,-70739.980988,160000
249261.269422,173019.14134,11876.54859,-67333.93229,-81553.343445,165000
236960.831458,161161.656778,93.805826,-78011.644946,-91727.260556,170000
225882.398078,149454.948067,-11611.158088,-88336.638774,-101821.596008,175000
