"variable","Mean","SD","time_series_se","perc_2.5","perc_50","perc_97.5","mc_error","converge"
"MSY","220454.140265564","63652.2694908041",581.106613971637,"134857.7417674","208596.827075237","373186.587502381",0.00912939347835178,"true"
"S.eq","175551.881740171","47393.6487251731",436.366787151121,"124597.50382037","165451.76535857","284427.366579265",0.00920728407474027,"true"
"S.max","76765.895253127","26217.7645043693",239.320063097483,"47995.9974581402","71450.9021404129","137011.600803104",0.00912816434282942,"true"
"S.msy","59307.6920845625","17662.4892026331",161.232075357287,"40116.2055998338","55726.4729302141","100267.229017959",0.00912850241591375,"true"
"U.msy","0.781117579396407","0.0440823321032526",0.000402368149197762,"0.689119426098014","0.783249909348893","0.860152479184113",0.00912765114729658,"true"
"alpha","5.89486690602901","1.38598403251598",0.0127977691770153,"3.67188827747149","5.72551333570848","9.05736624788095",0.00923370607220016,"true"
"alpha.c","10.706185518903","3.02027319570803",0.0276064655424009,"6.45850870837281","10.1767145847459","17.9555873321064",0.00914038689666587,"true"
"beta","0.0000140300704378134","0.00000344049515447619",0.0000000314066982226783,"0.0000072986520450785","0.0000139956245496603","0.0000208350706936794",0.00912854017010233,"true"
"lnalpha","1.74744750754331","0.230392648360028",0.0021295356440232,"1.30070604486214","1.7449322109841","2.20357837667575",0.0092430711621294,"true"
"lnalpha.c","2.33537779928841","0.261655636301249",0.00240172104769125,"1.86539844010948","2.32010222657675","2.88790133763197",0.00917893870601014,"true"
"resid.red.0","0.00650198921973837","1.08921788195547",0.0100205288248736,"-2.12604878715225","0.0123015557405716","2.15614259067937",0.00919974689259031,"true"
"sigma.red","1.07885976553729","0.109193330353297",0.000985198155945461,"0.89032637232777","1.07018055667485","1.31982897715936",0.00902251220617449,"true"
"sigma.white","1.07885976553729","0.109193330353297",0.000985198155945461,"0.89032637232777","1.07018055667485","1.31982897715936",0.00902251220617449,"true"
"tau.red","0.885127103405368","0.175291894343564",0.00162154091308504,"0.574069774968335","0.873144026827122","1.26154144983371",0.00925051850889859,"true"
"tau.white","0.885127103405368","0.175291894343564",0.00162154091308504,"0.574069774968335","0.873144026827122","1.26154144983371",0.00925051850889859,"true"
"Smsy_lambert"," 59463.31"," 17686.40",NA," 40292.48"," 55863.05","100452.85",NA,"NaN"
"Umsy_lambert","0.78332015","0.04523101",NA,"0.69099633","0.78464319","0.86740973",NA,"NaN"
"Smsy_lambert80"," 47570.65"," 14149.12",NA," 32233.98"," 44690.44"," 80362.28",NA,"NaN"
